id,accession,organism,collection_date,country,host,isolation_source,coded_by,protein_id,taxon_id,isolate
1090,ACT11007.1,Bovine respiratory coronavirus AH187,2000-01-01 00:00:00,USA: Ohio,bovine,,FJ938065.1:23599..27690,1,634,AH187
1091,ACT11019.1,Bovine respiratory coronavirus bovine/US/OH-440-TC/1996,1996-01-01 00:00:00,USA: Ohio,bovine,,FJ938066.1:23596..27687,1,635,bovine/US/OH-440-TC/1996
1092,Q8V436.1,Bovine respiratory coronavirus (strain 98TXSF-110-LUN),,,Bos taurus (Bovine),,,1,636,Bovine respiratory coronavirus (strain 98TXSF-110-LUN)
1093,ABP38334.1,Calf-giraffe coronavirus US/OH3/2006,,USA:Ohio,giraffe,,EF424624.1:23625..27701,1,637,US/OH3/2006
1094,ABP38313.1,Giraffe coronavirus US/OH3-TC/2006,,USA:Ohio,giraffe,,EF424622.1:23625..27701,1,638,US/OH3-TC/2006
1095,ABP38328.1,Giraffe coronavirus US/OH3/2003,,USA:Ohio,giraffe,,EF424623.1:23625..27701,1,639,US/OH3/2003
1096,ACT11030.1,Human enteric coronavirus strain 4408,2009-04-17 00:00:00,,Homo sapiens; bovine,,FJ938067.1:23582..27673,1,641,4408
1097,ABP38306.1,Sable antelope coronavirus US/OH1/2003,,USA:Ohio,antelope,,EF424621.1:23626..27717,1,642,US/OH1/2003
1098,ACJ67012.1,Sambar deer coronavirus US/OH-WD388-TC/1994,1994-01-01 00:00:00,USA: Ohio,sambar deer,,FJ425190.1:23611..27702,1,643,Sambar deer coronavirus US/OH-WD388-TC/1994
1099,ACJ66990.1,Sambar deer coronavirus US/OH-WD388-TC/1994,1994-01-01 00:00:00,USA: Ohio,sambar deer,,FJ425188.1:23625..27716,1,643,Sambar deer coronavirus US/OH-WD388-TC/1994
1100,ACJ67000.1,Sambar deer coronavirus US/OH-WD388/1994,1994-01-01 00:00:00,USA: Ohio,sambar deer,,FJ425189.1:23611..27702,1,644,Sambar deer coronavirus US/OH-WD388/1994
1101,AVN88332.1,Water deer coronavirus,2017-02-24 00:00:00,South Korea: Chungnam,Hydropotes inermis (water deer),,MG518518.1:23641..27735,1,645,W17-18
1102,ACJ66961.1,Waterbuck coronavirus US/OH-WD358-GnC/1994,1994-01-01 00:00:00,USA: Ohio,waterbuck,,FJ425185.1:23598..27689,1,646,Waterbuck coronavirus US/OH-WD358-GnC/1994
1103,ACJ66946.1,Waterbuck coronavirus US/OH-WD358-TC/1994,1994-01-01 00:00:00,USA: Ohio,waterbuck,,FJ425184.1:23625..27716,1,647,Waterbuck coronavirus US/OH-WD358-TC/1994
1104,ACJ66971.1,Waterbuck coronavirus US/OH-WD358/1994,1994-01-01 00:00:00,USA: Ohio,waterbuck,,FJ425186.1:23595..27686,1,648,Waterbuck coronavirus US/OH-WD358/1994
1105,ACJ66977.1,White-tailed deer coronavirus US/OH-WD470/1994,1994-01-01 00:00:00,USA: Ohio,white-tailed deer,,FJ425187.1:23627..27718,1,649,White-tailed deer coronavirus US/OH-WD470/1994
1106,VVV07109.1,Canine respiratory coronavirus,,,,,LR721772.1:<1..>4011,1,650,Canine respiratory coronavirus
1107,VVV07106.1,Canine respiratory coronavirus,,,,,LR721770.1:<1..>4011,1,650,Canine respiratory coronavirus
1108,VVV07095.1,Canine respiratory coronavirus,,,,,LR721764.1:<1..>4011,1,650,Canine respiratory coronavirus
1109,VVV07094.1,Canine respiratory coronavirus,,,,,LR721762.1:<1..>4011,1,650,Canine respiratory coronavirus
1110,VVV07089.1,Canine respiratory coronavirus,,,,,LR721761.1:<1..>4011,1,650,Canine respiratory coronavirus
1111,VVV07088.1,Canine respiratory coronavirus,,,,,LR721759.1:<1..>4011,1,650,Canine respiratory coronavirus
1112,VVV07087.1,Canine respiratory coronavirus,,,,,LR721758.1:<1..>4011,1,650,Canine respiratory coronavirus
1113,VVV07084.1,Canine respiratory coronavirus,,,,,LR721757.1:<1..>4011,1,650,Canine respiratory coronavirus
1114,VVU96382.1,Canine respiratory coronavirus,,,,,LR721664.1:23737..27828,1,650,Canine respiratory coronavirus
1115,VVU96367.1,Canine respiratory coronavirus,,,,,LR721663.1:8674..12765,1,650,Canine respiratory coronavirus
1116,VVU96373.1,Canine respiratory coronavirus,,,,,LR721662.1:526..4617,1,650,Canine respiratory coronavirus
1117,QAY30020.1,Canine respiratory coronavirus,2016-01-01 00:00:00,New Zealand,Canis lupus familiaris,,MH249786.1:<4073..6529,1,650,NZ.046/16
1118,AQT26509.1,Canine respiratory coronavirus,2014-01-01 00:00:00,China,dog,,KX432217.1:<1..>938,1,650,CRCoV/BJ-221
1119,AQT26507.1,Canine respiratory coronavirus,2014-01-01 00:00:00,China,dog,,KX432215.1:<1..>914,1,650,CRCoV/BJ-34
1120,AQT26498.1,Canine respiratory coronavirus,2014-01-01 00:00:00,China,dog,,KX432213.1:23574..27665,1,650,BJ232
1121,ABJ16386.1,Canine respiratory coronavirus,2005-01-01 00:00:00,Taiwan,,nasal swab from dog showing respiratory symptoms,DQ983324.1:<1..>404,1,650,CRCoV/NTU1/05
1122,ABG49511.1,Canine respiratory coronavirus,,Italy,dog,lung,DQ662401.1:<1..>595,1,650,240/05
1123,AFW97360.1,Canine respiratory coronavirus,2008-01-01 00:00:00,South Korea,dog,lung,JX860640.1:23641..27732,1,650,K37
1124,ACX46860.1,Canine respiratory coronavirus,2008-01-01 00:00:00,South Korea,dog,lung,GQ918143.1:2306..6397,1,650,K39
1125,ACX46850.1,Canine respiratory coronavirus,2008-01-01 00:00:00,South Korea,dog,lung,GQ918142.1:2306..6397,1,650,K37
1126,ACX46840.1,Canine respiratory coronavirus,2008-01-01 00:00:00,South Korea,dog,lung,GQ918141.1:2306..6397,1,650,K9
1127,AAO06124.1,Canine respiratory coronavirus,,,,,AY150272.1:1..4092,1,650,respiratory
1128,ACL93320.1,Canine respiratory coronavirus,2008-06-01 00:00:00,South Korea,dog,,EU983107.1:1..4092,1,650,CRCVK39
1129,ACL93319.1,Canine respiratory coronavirus,2008-06-01 00:00:00,South Korea,dog,,EU983106.1:1..4092,1,650,CRCVK37
1130,ACL93318.1,Canine respiratory coronavirus,2008-06-01 00:00:00,South Korea,dog,,EU983105.1:1..4092,1,650,CRCVK9
1131,ACL12996.1,Canine respiratory coronavirus,2005-01-01 00:00:00,Italy,dog,lung,EU999954.1:2306..6397,1,650,240/05
1132,BAG48179.1,Canine respiratory coronavirus,,,,,AB370269.1:1..4092,1,650,06/075
1133,ABG78748.1,Canine respiratory coronavirus,2003-01-01 00:00:00,United Kingdom,,whole cell lysate from infected HRT-18 cells,DQ682406.1:2485..6576,1,650,4182
1134,BAE96086.1,Canine respiratory coronavirus,,,,,AB242262.1:1..4092,1,650,Canine respiratory coronavirus
1135,AHN64792.1,Dromedary camel coronavirus HKU23,2013-05-21 00:00:00,United Arab Emirates: Dubai,dromedary camel,,KF906251.1:23645..27745,1,652,HKU23-368F
1136,AHN64783.1,Dromedary camel coronavirus HKU23,2013-05-15 00:00:00,United Arab Emirates: Dubai,dromedary camel,,KF906250.1:23645..27745,1,652,HKU23-362F
1137,AHN64774.1,Dromedary camel coronavirus HKU23,2013-04-03 00:00:00,United Arab Emirates: Dubai,dromedary camel,,KF906249.1:23645..27745,1,652,HKU23-265F
1138,AAQ67205.1,Equine coronavirus NC99,,,,,AY316300.1:1307..5398,1,654,NC99
1139,P36334.1,Human coronavirus OC43,,,Homo sapiens (Human),,,1,655,Human coronavirus OC43
1140,QEG03814.1,Human coronavirus OC43,2019-01-01 00:00:00,USA,Homo sapiens,,MN310478.1:23614..27690,1,655,HCoV_OC43/Seattle/USA/SC0776/2019
1141,QEG03803.1,Human coronavirus OC43,2019-01-01 00:00:00,USA,Homo sapiens,,MN310476.1:23602..27690,1,655,HCoV_OC43/Seattle/USA/SC9428/2018
1142,QEG03794.1,Human coronavirus OC43,2019-01-01 00:00:00,USA,Homo sapiens,,MN306053.1:23743..27819,1,655,HCoV_OC43/Seattle/USA/SC9430/2018
1143,QEG03776.1,Human coronavirus OC43,2019-01-01 00:00:00,USA,Homo sapiens,,MN306043.1:23638..27726,1,655,HCoV_OC43/Seattle/USA/SC0841/2019
1144,QEG03767.1,Human coronavirus OC43,2019-01-01 00:00:00,USA,Homo sapiens,,MN306042.1:23649..27725,1,655,HCoV_OC43/Seattle/USA/SC0839/2019
1145,QEG03757.1,Human coronavirus OC43,2019-01-01 00:00:00,USA,Homo sapiens,,MN306041.1:23649..27725,1,655,HCoV_OC43/Seattle/USA/SC0810/2019
1146,QEG03740.1,Human coronavirus OC43,2019-01-01 00:00:00,USA,Homo sapiens,,MN306036.1:23614..27690,1,655,HCoV_OC43/Seattle/USA/SC0682/2019
1147,ARU07610.1,Human coronavirus OC43,2015-01-01 00:00:00,USA,Homo sapiens,,KY983588.1:23614..27690,1,655,HCoV_OC43/Seattle/USA/SC3118/2015
1148,ARU07587.1,Human coronavirus OC43,2015-01-01 00:00:00,USA,Homo sapiens,,KY983585.1:23618..27694,1,655,HCoV_OC43/Seattle/USA/SC2854/2015
1149,ARU07568.1,Human coronavirus OC43,2015-01-01 00:00:00,USA,Homo sapiens,,KY983583.1:23614..27690,1,655,HCoV_OC43/Seattle/USA/SC2481/2015
1150,ARK08679.1,Human coronavirus OC43,2015-01-01 00:00:00,USA,Homo sapiens,,KY967361.1:23614..27690,1,655,HCoV_OC43/Seattle/USA/SC2345/2015
1151,ARK08670.1,Human coronavirus OC43,2015-01-01 00:00:00,USA,Homo sapiens,,KY967360.1:23602..27690,1,655,HCoV_OC43/Seattle/USA/SC2476/2015
1152,ARK08661.1,Human coronavirus OC43,2015-01-01 00:00:00,USA,Homo sapiens,,KY967359.1:23620..27696,1,655,HCoV_OC43/Seattle/USA/SC2730/2015
1153,ARK08651.1,Human coronavirus OC43,2015-01-01 00:00:00,USA,Homo sapiens,,KY967358.1:23614..27690,1,655,HCoV_OC43/Seattle/USA/SC2770/2015
1154,ARK08635.1,Human coronavirus OC43,2015-01-01 00:00:00,USA,Homo sapiens,,KY967356.1:23602..27678,1,655,HCoV_OC43/Seattle/USA/SC2924/2015
1155,ARA15421.1,Human coronavirus OC43,2016-01-01 00:00:00,USA,Homo sapiens,,KY684759.1:23614..27690,1,655,HCoV_OC43/Seattle/USA/SC2269/2016
1156,APU51936.1,Human coronavirus OC43,2016-01-01 00:00:00,USA,Homo sapiens,,KY369907.1:23652..27728,1,655,HCoV_OC43/Seattle/USA/SC9741/2016
1157,APU51926.1,Human coronavirus OC43,2016-01-01 00:00:00,USA,Homo sapiens,,KY369906.1:23633..27709,1,655,HCoV_OC43/Seattle/USA/SC622/2016
1158,APU51916.1,Human coronavirus OC43,2016-01-01 00:00:00,USA,Homo sapiens,,KY369905.1:23633..27709,1,655,HCoV_OC43/Seattle/USA/SC831/2016
1159,ABU39950.1,Human coronavirus OC43,2005-01-01 00:00:00,,,,EF507744.1:<1..>323,1,655,Caen743
1160,ABU39949.1,Human coronavirus OC43,2005-01-01 00:00:00,,,,EF507743.1:<1..>323,1,655,Caen626
1161,ABU39948.1,Human coronavirus OC43,2005-01-01 00:00:00,,,,EF507742.1:<1..>323,1,655,Caen609
1162,ABU39947.1,Human coronavirus OC43,2005-01-01 00:00:00,,,,EF507741.1:<1..>323,1,655,Caen554
1163,ABU39946.1,Human coronavirus OC43,2005-01-01 00:00:00,,,,EF507740.1:<1..>323,1,655,Caen552
1164,ABU39945.1,Human coronavirus OC43,2005-01-01 00:00:00,,,,EF507739.1:<1..>323,1,655,Caen536
1165,ABU39944.1,Human coronavirus OC43,2005-01-01 00:00:00,,,,EF507738.1:<1..>323,1,655,Caen531
1166,ABU39943.1,Human coronavirus OC43,2005-01-01 00:00:00,,,,EF507737.1:<1..>323,1,655,Caen524
1167,ABU39942.1,Human coronavirus OC43,2005-01-01 00:00:00,,,,EF507736.1:<1..>323,1,655,Caen516
1168,ABU39941.1,Human coronavirus OC43,2005-01-01 00:00:00,,,,EF507735.1:<1..>323,1,655,Caen503
1169,ABU39940.1,Human coronavirus OC43,2005-01-01 00:00:00,,,,EF507734.1:<1..>323,1,655,Caen472
1170,ABU39939.1,Human coronavirus OC43,2005-01-01 00:00:00,,,,EF507733.1:<1..>323,1,655,Caen314
1171,ABU39938.1,Human coronavirus OC43,2005-01-01 00:00:00,,,,EF507732.1:<1..>326,1,655,Caen241
1172,BBO58774.1,Human coronavirus OC43,2013-02-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506820.1:1..>2289,1,655,HCoV-OC43/Yamagata.JPN/07.2013-0380
1173,BBO58773.1,Human coronavirus OC43,2013-02-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506819.1:1..>2289,1,655,HCoV-OC43/Yamagata.JPN/06.2013-0378
1174,BBO58772.1,Human coronavirus OC43,2013-02-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506818.1:1..>2289,1,655,HCoV-OC43/Yamagata.JPN/06.2013-0375
1175,BBO58771.1,Human coronavirus OC43,2013-02-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506817.1:1..>2289,1,655,HCoV-OC43/Yamagata.JPN/06.2013-0348
1176,BBO58770.1,Human coronavirus OC43,2013-01-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506816.1:1..>2289,1,655,HCoV-OC43/Yamagata.JPN/05.2013-0300
1177,BBO58769.1,Human coronavirus OC43,2013-01-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506815.1:1..>2289,1,655,HCoV-OC43/Yamagata.JPN/04.2013-0289
1178,BBO58768.1,Human coronavirus OC43,2012-12-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506814.1:1..>2289,1,655,HCoV-OC43/Yamagata.JPN/52.2012-2590
1179,BBO58767.1,Human coronavirus OC43,2012-12-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506813.1:1..>2289,1,655,HCoV-OC43/Yamagata.JPN/52.2012-2586
1180,BBO58766.1,Human coronavirus OC43,2012-12-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506812.1:1..>2289,1,655,HCoV-OC43/Yamagata.JPN/51.2012-2581
1181,BBO58765.1,Human coronavirus OC43,2012-12-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506811.1:1..>2289,1,655,HCoV-OC43/Yamagata.JPN/49.2012-2416
1182,BBO58764.1,Human coronavirus OC43,2012-11-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506810.1:1..>2289,1,655,HCoV-OC43/Yamagata.JPN/46.2012-2185
1183,BBO58763.1,Human coronavirus OC43,2012-04-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506809.1:1..>2289,1,655,HCoV-OC43/Yamagata.JPN/14.2012-0781
1184,BBO58762.1,Human coronavirus OC43,2012-03-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506808.1:1..>2289,1,655,HCoV-OC43/Yamagata.JPN/13.2012-0719
1185,BBO58761.1,Human coronavirus OC43,2012-02-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506807.1:1..>2289,1,655,HCoV-OC43/Yamagata.JPN/09.2012-0501
1186,BBO58760.1,Human coronavirus OC43,2012-02-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506806.1:1..>2289,1,655,HCoV-OC43/Yamagata.JPN/06.2012-0371
1187,BBO58759.1,Human coronavirus OC43,2012-02-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506805.1:1..>2289,1,655,HCoV-OC43/Yamagata.JPN/06.2012-0369
1188,BBO58758.1,Human coronavirus OC43,2012-02-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506804.1:1..>2289,1,655,HCoV-OC43/Yamagata.JPN/06.2012-0291
1189,BBO58757.1,Human coronavirus OC43,2012-02-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506803.1:1..>2289,1,655,HCoV-OC43/Yamagata.JPN/05.2012-0283
1190,BBO58756.1,Human coronavirus OC43,2012-02-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506802.1:1..>2289,1,655,HCoV-OC43/Yamagata.JPN/05.2012-0279
1191,BBO58755.1,Human coronavirus OC43,2012-01-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506801.1:1..>2289,1,655,HCoV-OC43/Yamagata.JPN/04.2012-0168
1192,BBO58754.1,Human coronavirus OC43,2011-07-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506800.1:1..>2289,1,655,HCoV-OC43/Yamagata.JPN/27.2011-1525
1193,BBO58753.1,Human coronavirus OC43,2011-06-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506799.1:1..>2289,1,655,HCoV-OC43/Yamagata.JPN/22.2011-1255
1194,BBO58752.1,Human coronavirus OC43,2011-05-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506798.1:1..>2289,1,655,HCoV-OC43/Yamagata.JPN/21.2011-1236
1195,BBO58751.1,Human coronavirus OC43,2011-05-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506797.1:1..>2289,1,655,HCoV-OC43/Yamagata.JPN/21.2011-1174
1196,BBO58750.1,Human coronavirus OC43,2011-05-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506796.1:1..>2289,1,655,HCoV-OC43/Yamagata.JPN/20.2011-1168
1197,BBO58749.1,Human coronavirus OC43,2011-04-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506795.1:1..>2289,1,655,HCoV-OC43/Yamagata.JPN/16.2011-0969
1198,BBO58748.1,Human coronavirus OC43,2011-04-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506794.1:1..>2289,1,655,HCoV-OC43/Yamagata.JPN/14.2011-0897
1199,BBO58747.1,Human coronavirus OC43,2011-04-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506793.1:1..>2289,1,655,HCoV-OC43/Yamagata.JPN/14.2011-0874
1200,BBO58746.1,Human coronavirus OC43,2011-03-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506792.1:1..>2289,1,655,HCoV-OC43/Yamagata.JPN/13.2011-0857
1201,BBO58745.1,Human coronavirus OC43,2011-03-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506791.1:1..>2289,1,655,HCoV-OC43/Yamagata.JPN/13.2011-0825
1202,BBO58744.1,Human coronavirus OC43,2011-03-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506790.1:1..>2289,1,655,HCoV-OC43/Yamagata.JPN/09.2011-0752
1203,BBO58743.1,Human coronavirus OC43,2011-01-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506789.1:1..>2301,1,655,HCoV-OC43/Yamagata.JPN/01.2011-0064
1204,BBO58742.1,Human coronavirus OC43,2010-12-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506788.1:1..>2301,1,655,HCoV-OC43/Yamagata.JPN/48.2010-2644
1205,BBO58741.1,Human coronavirus OC43,2010-11-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506787.1:1..>2301,1,655,HCoV-OC43/Yamagata.JPN/48.2010-2590
1206,BBO58740.1,Human coronavirus OC43,2010-11-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506786.1:1..>2301,1,655,HCoV-OC43/Yamagata.JPN/47.2010-2547
1207,BBO58739.1,Human coronavirus OC43,2010-11-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506785.1:1..>2301,1,655,HCoV-OC43/Yamagata.JPN/46.2010-2538
1208,BBO58738.1,Human coronavirus OC43,2010-11-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506784.1:1..>2301,1,655,HCoV-OC43/Yamagata.JPN/46.2010-2513
1209,BBO58737.1,Human coronavirus OC43,2010-11-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506783.1:1..>2301,1,655,HCoV-OC43/Yamagata.JPN/46.2010-2512
1210,BBO58736.1,Human coronavirus OC43,2010-11-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506782.1:1..>2301,1,655,HCoV-OC43/Yamagata.JPN/46.2010-2510
1211,BBO58735.1,Human coronavirus OC43,2010-11-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506781.1:1..>2301,1,655,HCoV-OC43/Yamagata.JPN/46.2010-2506
1212,BBO58734.1,Human coronavirus OC43,2010-11-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506780.1:1..>2301,1,655,HCoV-OC43/Yamagata.JPN/45.2010-2465
1213,BBO58733.1,Human coronavirus OC43,2010-10-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506779.1:1..>2301,1,655,HCoV-OC43/Yamagata.JPN/43.2010-2412
1214,BBO58732.1,Human coronavirus OC43,2010-10-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506778.1:1..>2301,1,655,HCoV-OC43/Yamagata.JPN/43.2010-2388
1215,BBO58731.1,Human coronavirus OC43,2010-10-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506777.1:1..>2301,1,655,HCoV-OC43/Yamagata.JPN/43.2010-2385
1216,BBO58730.1,Human coronavirus OC43,2010-10-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506776.1:1..>2301,1,655,HCoV-OC43/Yamagata.JPN/43.2010-2384
1217,BBO58729.1,Human coronavirus OC43,2010-10-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506775.1:1..>2301,1,655,HCoV-OC43/Yamagata.JPN/43.2010-2382
1218,BBO58728.1,Human coronavirus OC43,2010-10-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506774.1:1..>2301,1,655,HCoV-OC43/Yamagata.JPN/43.2010-2375
1219,BBO58727.1,Human coronavirus OC43,2010-10-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506773.1:1..>2289,1,655,HCoV-OC43/Yamagata.JPN/39.2010-2197
1220,BBO58726.1,Human coronavirus OC43,2010-09-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506772.1:1..>2289,1,655,HCoV-OC43/Yamagata.JPN/38.2010-2108
1221,BBO58725.1,Human coronavirus OC43,2010-05-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506771.1:1..>2289,1,655,HCoV-OC43/Yamagata.JPN/21.2010-1394
1222,BBO58724.1,Human coronavirus OC43,2010-05-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506770.1:1..>2289,1,655,HCoV-OC43/Yamagata.JPN/20.2010-1341
1223,BBO58723.1,Human coronavirus OC43,2010-05-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506769.1:1..>2289,1,655,HCoV-OC43/Yamagata.JPN/20.2010-1337
1224,BBO58722.1,Human coronavirus OC43,2010-01-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506768.1:1..>2289,1,655,HCoV-OC43/Yamagata.JPN/04.2010-0251
1225,BBO58721.1,Human coronavirus OC43,2010-01-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506767.1:1..>2289,1,655,HCoV-OC43/Yamagata.JPN/03.2010-0241
1226,BBO58720.1,Human coronavirus OC43,2009-03-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506766.1:1..>2301,1,655,HCoV-OC43/Yamagata.JPN/11.2009-0842
1227,BBO58719.1,Human coronavirus OC43,2009-03-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506765.1:1..>2289,1,655,HCoV-OC43/Yamagata.JPN/11.2009-0765
1228,BBO58718.1,Human coronavirus OC43,2009-03-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506764.1:1..>2301,1,655,HCoV-OC43/Yamagata.JPN/10.2009-0762
